dataset,seed,method,eps,attack_success_rate,attacked_accuracy,median_min_flip_linf,reachable_fraction
mfeat_morphological,0,mags_binary_excluded,0.05,0.0614285714285714,0.6814285714285714,0.374851190800461,1.0
mfeat_morphological,0,mags_fixed,0.05,0.0614285714285714,0.6814285714285714,0.374851190800461,1.0
mfeat_morphological,0,mags_tuned,0.05,0.0885714285714285,0.6971428571428572,0.3097143590060467,1.0
mfeat_morphological,0,matched_gini,0.05,0.0614285714285714,0.6814285714285714,0.374851190800461,1.0
mfeat_morphological,0,noise_augmented_cart,0.05,0.0357142857142857,0.7028571428571428,0.3734101433214021,1.0
mfeat_morphological,1,cart_fixed,0.05,0.0285714285714285,0.6885714285714286,0.3878769780328257,1.0
mfeat_morphological,1,cart_pruned,0.05,0.0414285714285714,0.7185714285714285,0.4371289444802065,1.0
mfeat_morphological,1,cart_tuned_depth,0.05,0.0857142857142857,0.7042857142857143,0.1941059356260937,1.0
mfeat_morphological,1,mags_binary_excluded,0.05,0.0657142857142857,0.68,0.3659770725570436,1.0
mfeat_morphological,1,mags_fixed,0.05,0.0657142857142857,0.68,0.3659770725570436,1.0
mfeat_morphological,1,mags_tuned,0.05,0.2157142857142857,0.7042857142857143,0.177223464514694,1.0
mfeat_morphological,1,matched_gini,0.05,0.0642857142857142,0.6828571428571428,0.3671163748260789,1.0
mfeat_morphological,1,noise_augmented_cart,0.05,0.0285714285714285,0.6885714285714286,0.4613858594527281,1.0
mfeat_morphological,2,cart_fixed,0.05,0.0685714285714285,0.6728571428571428,0.255168694856858,1.0
mfeat_morphological,2,cart_pruned,0.05,0.0642857142857142,0.6971428571428572,0.6207774875605971,1.0
mfeat_morphological,2,cart_tuned_depth,0.05,0.1357142857142857,0.6914285714285714,0.1445427420267046,1.0
mfeat_morphological,2,mags_binary_excluded,0.05,0.13,0.6557142857142857,0.2605978732971805,1.0
mfeat_morphological,2,mags_fixed,0.05,0.13,0.6557142857142857,0.2605978732971805,1.0
mfeat_morphological,2,mags_tuned,0.05,0.2214285714285714,0.67,0.1360051783059471,1.0
mfeat_morphological,2,matched_gini,0.05,0.1285714285714285,0.6542857142857142,0.2651626131620169,1.0
mfeat_morphological,2,noise_augmented_cart,0.05,0.0357142857142857,0.6971428571428572,0.4443437081644746,1.0
mfeat_morphological,3,cart_fixed,0.05,0.06,0.64,0.4351906168680112,1.0
mfeat_morphological,3,cart_pruned,0.05,0.0928571428571428,0.6914285714285714,0.2335814329265291,1.0
mfeat_morphological,3,cart_tuned_depth,0.05,0.1442857142857143,0.6842857142857143,0.2286785889761795,1.0
mfeat_morphological,3,mags_binary_excluded,0.05,0.0771428571428571,0.6757142857142857,0.3515243861884537,1.0
mfeat_morphological,3,mags_fixed,0.05,0.0771428571428571,0.6757142857142857,0.3515243861884537,1.0
mfeat_morphological,3,mags_tuned,0.05,0.0842857142857142,0.6871428571428572,0.3204986754115453,1.0
mfeat_morphological,3,matched_gini,0.05,0.0642857142857142,0.6285714285714286,0.4015333142908129,1.0
mfeat_morphological,3,noise_augmented_cart,0.05,0.0214285714285714,0.6471428571428571,0.3339028661244793,1.0
mfeat_morphological,4,cart_fixed,0.05,0.0414285714285714,0.7142857142857143,0.4058906338126647,1.0
mfeat_morphological,4,cart_pruned,0.05,0.0342857142857142,0.7157142857142857,0.6901242573392288,1.0
mfeat_morphological,4,cart_tuned_depth,0.05,0.2328571428571428,0.6871428571428572,0.0851886093758919,1.0
mfeat_morphological,4,mags_binary_excluded,0.05,0.0657142857142857,0.6985714285714286,0.3434880164909735,1.0
mfeat_morphological,4,mags_fixed,0.05,0.0657142857142857,0.6985714285714286,0.3434880164909735,1.0
mfeat_morphological,4,mags_tuned,0.05,0.0871428571428571,0.7057142857142857,0.271059242959401,1.0
mfeat_morphological,4,matched_gini,0.05,0.0657142857142857,0.6985714285714286,0.3434880164909735,1.0
mfeat_morphological,4,noise_augmented_cart,0.05,0.0285714285714285,0.6985714285714286,0.4217461058494998,1.0
mfeat_morphological,5,cart_fixed,0.05,0.0457142857142857,0.6771428571428572,0.3875907081871078,1.0
mfeat_morphological,5,cart_pruned,0.05,0.0428571428571428,0.6942857142857143,0.4848469306616912,1.0
mfeat_morphological,5,cart_tuned_depth,0.05,0.0642857142857142,0.7028571428571428,0.2904052696643542,1.0
mfeat_morphological,5,mags_binary_excluded,0.05,0.0628571428571428,0.6728571428571428,0.3932218938929221,1.0
mfeat_morphological,5,mags_fixed,0.05,0.0628571428571428,0.6728571428571428,0.3932218938929221,1.0
mfeat_morphological,5,mags_tuned,0.05,0.1914285714285714,0.7042857142857143,0.1813956294557539,1.0
mfeat_morphological,5,matched_gini,0.05,0.0657142857142857,0.6714285714285714,0.3887170080174059,1.0
mfeat_morphological,5,noise_augmented_cart,0.05,0.0457142857142857,0.69,0.3074250164759569,1.0
mfeat_morphological,6,cart_fixed,0.05,0.0185714285714285,0.5857142857142857,0.435638574327336,1.0
